p_id,Gamer_ID,name,country,Region,team_name,role
116,Adrian,Adrian Briceño Huancas,Peru,South America,Dreamers Esports,Carry
117,Cucahook,José Antonio Espinoza Poccori,Peru,South America,Dreamers Esports,Carry
118,Drakeel,Isaac Zavaleta,Peru,South America,Dreamers Esports,Offlaner
119,Jeimari,Jeremy Ruiz Aguinaga,Peru,South America,Dreamers Esports,Solo Middle
120,Zxca,Amilkar Fhelipe Layme Bonifacio,Peru,South America,Dreamers Esports,Support
121,圣子华炼,Zhong Liushua,China,China,EHOME,Carry
122,mks,Wong Sim An,Malaysia,Southeast Asia,EHOME,Carry
123,X1aOyU,Lee Qian Yu,Malaysia,Southeast Asia,EHOME,Offlaner
124,yChen,Pan Shuaifang,China,China,EHOME,Solo Middle
125,Lww,Liu Weiwei,China,China,EHOME,Support
126,Salad,Tang Xiaolei,China,China,EHOME,Support
127,DoublA,Michael Ipovich,United States,North America,Electronic Boys,Support
128,Gudii,William Aguilera,Venezuela,South America,Electrosaurios,Support
129,Xz,Chen Zezhi,China,China,Elephant,Coach
130,watson,Alimzhan Islambekov,Kazakhstan,Europe,Entity,Carry
131,MeTTpuM,Daniil Gilev,Russia,Europe,Entity,Coach
132,Tobi,Tobias Buchner,Austria,Europe,Entity,Offlaner
133,Stormstormer,Daniel Schoetzau,Germany,Europe,Entity,Solo Middle
134,Fishman,Dzmitry Palishchuk,Belarus,Europe,Entity,Support
135,Kataomi`,Vladislav Semenov,Russia,Europe,Entity,Support
136,Crio_J,Choi Jong-Bin,South Korea,Other,Erethia,Solo Middle
137,Moonlight,Christopher Paolo Andrés Roldán Navarro,Chile,South America,Eternity,Support
138,Aretes,Jeanpierre Rivera Perez,Peru,South America,Eternity,Support
139,Pakazs,Crhistian Antony Savina Casanova,Peru,South America,Evil Geniuses,Carry
140,Vintage,Juan David Angulo Nicho,Peru,South America,Evil Geniuses,Coach
141,Wisper,Adrián Céspedes Dobles,Bolivia,South America,Evil Geniuses,Offlaner
